t,1uM,1.7uM,3uM,5uM
4.221105528,0.08857598671,0.8296897353,0.9999965376,1
4.271356784,0.09423618428,0.8394218434,0.9999971928,1
4.32160804,0.1002038571,0.8487204892,0.9999977241,1
4.371859296,0.1064892275,0.857586789,0.9999981548,1
4.422110553,0.1131020624,0.8660248707,0.999998504,1
4.472361809,0.1200515619,0.874041467,0.9999987871,1
4.522613065,0.1273462415,0.8816455137,0.9999990167,1
4.572864322,0.1349938101,0.8888477641,0.9999992028,1
4.623115578,0.1430010443,0.8956604281,0.9999993536,1
4.673366834,0.15137366,0.9020968425,0.999999476,1
4.72361809,0.1601161854,0.9081711738,0.9999995751,1
4.773869347,0.1692318353,0.9138981574,0.9999996555,1
4.824120603,0.1787223897,0.9192928694,0.9999997207,1
4.874371859,0.1885880798,0.9243705324,0.9999997736,1
4.924623116,0.1988274841,0.9291463518,0.9999998164,1
4.974874372,0.2094374356,0.9336353799,0.9999998512,1
5.025125628,0.2204129454,0.9378524056,0.9999998793,1
5.075376884,0.2317471428,0.9418118662,0.9999999022,1
5.125628141,0.2434312362,0.9455277788,0.9999999207,1
5.175879397,0.2554544947,0.9490136891,0.9999999357,1
5.226130653,0.2678042549,0.9522826336,0.9999999479,1
5.27638191,0.2804659514,0.955347115,0.9999999577,1
5.326633166,0.2934231725,0.9582190871,0.9999999657,1
5.376884422,0.3066577427,0.9609099483,0.9999999722,1
5.427135678,0.3201498287,0.963430542,0.9999999775,1
5.477386935,0.3338780698,0.9657911625,0.9999999817,1
5.527638191,0.3478197299,0.968001565,0.9999999852,1
5.577889447,0.3619508689,0.9700709792,0.999999988,1
5.628140704,0.3762465309,0.9720081255,0.9999999903,1
5.67839196,0.3906809448,0.973821233,0.9999999921,1
5.728643216,0.4052277349,0.9755180586,0.9999999936,1
5.778894472,0.4198601368,0.9771059069,0.9999999948,1
5.829145729,0.4345512154,0.9785916515,0.9999999958,1
5.879396985,0.4492740797,0.9799817547,0.9999999966,1
5.929648241,0.4640020926,0.9812822887,0.9999999972,1
5.979899497,0.4787090707,0.9824989556,0.9999999978,1
6.030150754,0.4933694717,0.9836371074,0.9999999982,1
6.08040201,0.507958567,0.9847017649,0.9999999985,1
6.130653266,0.5224525966,0.9856976365,0.9999999988,1
6.180904523,0.5368289058,0.9866291362,0.999999999,1
6.231155779,0.5510660616,0.9875004006,0.9999999992,1
6.281407035,0.5651439485,0.988315305,0.9999999994,1
6.331658291,0.5790438444,0.9890774797,0.9999999995,1
6.381909548,0.5927484758,0.9897903239,0.9999999996,1
6.432160804,0.6062420541,0.9904570207,0.9999999997,1
6.48241206,0.6195102934,0.9910805496,0.9999999997,1
6.532663317,0.6325404112,0.9916636996,0.9999999998,1
6.582914573,0.6453211147,0.9922090808,0.9999999998,1
6.633165829,0.6578425718,0.9927191359,0.9999999999,1
6.683417085,0.670096372,0.9931961502,0.9999999999,1
6.733668342,0.6820754758,0.9936422622,0.9999999999,1
6.783919598,0.6937741563,0.9940594723,0.9999999999,1
6.834170854,0.7051879342,0.9944496519,0.9999999999,1
6.884422111,0.7163135074,0.9948145517,0.9999999999,1
6.934673367,0.7271486771,0.9951558093,1,1
6.984924623,0.7376922717,0.9954749561,1,1
7.035175879,0.7479440692,0.9957734249,1,1
7.085427136,0.7579047204,0.9960525556,1,1
7.135678392,0.767575672,0.9963136011,1,1
7.185929648,0.7769590922,0.9965577337,1,1
7.236180905,0.7860577978,0.9967860493,1,1
7.286432161,0.794875185,0.996999573,1,1
7.336683417,0.8034151624,0.9971992635,1,1
7.386934673,0.8116820881,0.9973860173,1,1
7.43718593,0.8196807107,0.9975606728,1,1
7.487437186,0.8274161131,0.9977240142,1,1
7.537688442,0.8348936613,0.9978767746,1,1
7.587939698,0.8421189561,0.9980196398,1,1
7.638190955,0.8490977893,0.998153251,1,1
7.688442211,0.8558361033,0.9982782079,1,1
7.738693467,0.8623399538,0.9983950714,1,1
7.788944724,0.868615477,0.9985043658,1,1
7.83919598,0.874668859,0.9986065816,1,1
7.889447236,0.8805063087,0.9987021774,1,1
7.939698492,0.8861340338,0.9987915823,1,1
7.989949749,0.891558219,0.9988751972,1,1
8.040201005,0.8967850073,0.9989533973,1,1
8.090452261,0.9018204829,0.9990265334,1,1
8.140703518,0.906670657,0.9990949336,1,1
8.190954774,0.9113414551,0.9991589046,1,1
8.24120603,0.9158387063,0.9992187333,1,1
8.291457286,0.9201681338,0.9992746881,1,1
8.341708543,0.9243353479,0.9993270199,1,1
8.391959799,0.9283458388,0.9993759634,1,1
8.442211055,0.9322049726,0.9994217379,1,1
8.492462312,0.9359179861,0.9994645488,1,1
8.542713568,0.939489985,0.9995045879,1,1
8.592964824,0.9429259406,0.9995420349,1,1
8.64321608,0.9462306893,0.9995770575,1,1
8.693467337,0.9494089312,0.9996098127,1,1
8.743718593,0.9524652306,0.9996404474,1,1
8.793969849,0.9554040161,0.9996690989,1,1
8.844221106,0.9582295815,0.9996958956,1,1
8.894472362,0.960946087,0.9997209576,1,1
8.944723618,0.9635575612,0.9997443972,1,1
8.994974874,0.9660679026,0.9997663195,1,1
9.045226131,0.9684808819,0.9997868227,1,1
9.095477387,0.9708001445,0.9998059987,1,1
9.145728643,0.973029213,0.9998239334,1,1
9.195979899,0.9751714896,0.9998407072,1,1
9.246231156,0.9772302594,0.9998563952,1,1
9.296482412,0.9792086929,0.9998710678,1,1
9.346733668,0.981109849,0.9998847906,1,1
9.396984925,0.9829366781,0.9998976252,1,1
9.447236181,0.984692025,0.9999096291,1,1
9.497487437,0.9863786321,0.9999208559,1,1
9.547738693,0.9879991422,0.9999313561,1,1
9.59798995,0.9895561017,0.9999411767,1,1
9.648241206,0.9910519634,0.9999503617,1,1
9.698492462,0.9924890895,0.9999589521,1,1
9.748743719,0.9938697547,0.9999669866,1,1
9.798994975,0.9951961489,0.999974501,1,1
9.849246231,0.9964703798,0.9999815291,1,1
9.899497487,0.9976944762,0.9999881023,1,1
9.949748744,0.9988703902,0.9999942501,1,1
10,1,1,1,1
